Id,gratuidade,sentenca
00001133220168150411,False,Improcedente
00001142620138150151,False,Improcedente
00001143420158152001,False,Extinto
00001144820158150121,False,Extinto
00001157720048150231,True,Nenhuma Sentença
00001208620138151071,False,Nenhuma Sentença
00001226420148150281,False,Nenhuma Sentença
00001227620108150581,False,Improcedente
00001235320168150451,False,Improcedente
00001246820148150981,False,Improcedente
00001249020118150361,False,Procedente
00001288919988150521,False,Nenhuma Sentença
00001292220158150281,False,Improcedente
00001293920158150631,False,Extinto
00001306520118150501,False,Procedente
00001389720158150211,False,Improcedente
00001392420148150371,False,Parcialmente
00001401720068150071,False,Outros
00001429020118150271,False,Extinto
00001463320158150451,False,Procedente
00001527420128150021,False,Outros
00001553820148150351,False,Nenhuma Sentença
00001554120108150751,False,Procedente
00001555620108150261,False,Improcedente
00001558820168150441,False,Extinto
00001573620158151171,True,Parcialmente
00001574720148150241,False,Nenhuma Sentença
00001578719988150021,False,Extinto
00001579620128150021,False,Extinto
00001617920028150411,False,Outros
00001623620168150391,False,Improcedente
00001636020168150281,False,Procedente
00001652120108152001,False,Nenhuma Sentença
00001657420178152001,False,Extinto
00001667620138150521,False,Improcedente
00001674620168151171,False,Acordo
00001678320138152001,False,Extinto
00001685620128150141,False,Nenhuma Sentença
00001691420178152001,True,Acordo
00001698820118150751,False,Nenhuma Sentença
00001712220108150451,False,Nenhuma Sentença
00001715120168150341,False,Procedente
00001717220178150161,False,Extinto
00001734220098150381,False,Extinto
00001735020128150021,False,Extinto
00001738720158151171,False,Improcedente
00001760620158150601,False,Outros
00001771820118150411,False,Nenhuma Sentença
00001774119878152001,False,Nenhuma Sentença
00001777920038152001,False,Nenhuma Sentença
00001778720128150021,False,Extinto
00001795720128150021,False,Extinto
00001841120168150451,False,Improcedente
00001848020178152001,True,Extinto
00001864920158150181,True,Nenhuma Sentença
00001877120158151171,True,Parcialmente
00001886720148151211,False,Parcialmente
00001896720138150021,False,Nenhuma Sentença
00001909120158150341,False,Improcedente
00001925120158150021,False,Extinto
00001953420148150411,False,Improcedente
00001967420048150021,False,Procedente
00001972720098150751,False,Procedente
00001995720148150351,False,Nenhuma Sentença
00002001520158150381,False,Outros
00002015520108150581,True,Outros
00002015820138152001,False,Extinto
00002032820138152001,False,Improcedente
00002057920138150131,False,Acordo
00002058320118150411,False,Parcialmente
00002064620138150331,False,Improcedente
00002082520168150391,False,Extinto
00002084220158150041,False,Procedente
00002084820138150191,True,Extinto
00002094520138150381,False,Nenhuma Sentença
00002104320158152003,False,Improcedente
00002162220128150171,False,Improcedente
00002169420108150881,False,Improcedente
00002208520128150421,False,Nenhuma Sentença
00002213820138150291,False,Extinto
00002225820188152001,False,Extinto
00002238120158150341,False,Improcedente
00002261420148150101,False,Extinto
00002276120038150981,False,Nenhuma Sentença
00002294220128150261,False,Nenhuma Sentença
00002317120158150951,False,Outros
00002325920148150541,False,Nenhuma Sentença
00002329620168150021,False,Extinto
00002340920178152001,False,Outros
00002343720148150021,False,Extinto
00002373119988150351,False,Procedente
00002404720158150041,False,Acordo
00002423820158150131,False,Nenhuma Sentença
00002432920138150281,False,Parcialmente
00002440820158150131,False,Nenhuma Sentença
00002444720148150291,False,Improcedente
00002445220148150451,False,Outros
00002458020098150461,False,Nenhuma Sentença
00002473620108150131,False,Outros
00002476020158150131,False,Acordo
00002484619998150021,False,Extinto
00002489220158150471,False,Nenhuma Sentença
00002495120128152001,False,Outros
00002495620098152001,False,Nenhuma Sentença
00002504820158150411,False,Procedente
00002513120168150271,False,Improcedente
00002529120108150411,False,Extinto
00002547020168150631,False,Improcedente
00002549120158150021,False,Extinto
00002595620148150601,False,Outros
00002601720098150601,False,Nenhuma Sentença
00002607520158152001,True,Extinto
00002620420118150411,False,Parcialmente
00002624520118150171,False,Improcedente
00002631920168150021,False,Extinto
00002644520158150051,False,Acordo
00002670420148152001,False,Nenhuma Sentença
00002705020148152003,False,Extinto
00002748720128150021,False,Nenhuma Sentença
00002765720128150021,False,Extinto
00002772420098152001,False,Procedente
00002774320178152001,False,Extinto
00002791920138150751,False,Outros
00002800320148152001,False,Improcedente
00002801320148150381,False,Extinto
00002802320168150161,False,Improcedente
00002815120158152001,False,Improcedente
00002817420158150021,False,Extinto
