Processo_ID,Primeiro Resultado,Todos os Resultados,Total Vereditos
08612071820228152001,Perdido,Perdido | Perdido,2
08626975120178152001,Extinto,Extinto | Extinto,2
08101691120158152001,Extinto,Extinto | Extinto,2
08032670820168152001,Extinto,Extinto | Extinto,2
08010008720218152001,Ganho,Ganho | Ganho,2
08286395620168152001,Perdido,Perdido | Perdido,2
08599217320208152001,Perdido,Perdido | Perdido,2
08641414620228152001,Acordo,Acordo | Acordo,2
08433448820188152001,Acordo,Acordo | Acordo,2
08109990620178152001,Perdido,Perdido | Perdido,2
08091968020208152001,Nenhuma Sentença,-,-
08042989220188152001,Ganho,Ganho | Ganho | Ganho,3
08438693120228152001,Perdido,Perdido | Perdido,2
08084711920168150001,Extinto,Extinto | Extinto,2
08573434020208152001,Ganho,Ganho | Ganho,2
08439781120238152001,Acordo,Acordo | Acordo,2
08353325120198152001,Ganho,Ganho | Ganho,2
08350098520158152001,Perdido,Perdido | Perdido,2
00380345220098152001,Ganho,Ganho | Ganho,2
08231547020198152001,Perdido,Perdido | Perdido,2
08054734820238152001,Acordo,Acordo | Acordo | Acordo,3
08125623020208152001,Outros,Outros | Outros | Ganho | Ganho,4
00587043820148152001,Ganho,Ganho | Ganho,2
08123776020188152001,Outros,Outros | Outros | Ganho,3
08383856920218152001,Extinto,Extinto | Extinto,2
08086084420188152001,Outros,Outros | Outros,2
08384664720238152001,Acordo,Acordo | Acordo,2
08447163320228152001,Ganho,Ganho,1
00356338520068152001,Outros,Outros | Outros,2
08383663420198152001,Outros,Outros | Outros,2
08495738820238152001,Acordo,Acordo | Acordo | Acordo,3
00181968420138152001,Nenhuma Sentença,-,-
00167253320138152001,Perdido,Perdido | Perdido,2
08075163620158152001,Ganho,Ganho | Ganho,2
08052327420238152001,Ganho,Ganho | Ganho,2
08012964120238152001,Perdido,Perdido | Perdido,2
08194753320178152001,Extinto,Extinto | Extinto,2
08425291820238152001,Nenhuma Sentença,-,-
08427711120228152001,Perdido,Perdido | Perdido,2
08319277520178152001,Nenhuma Sentença,-,-
08115484020228152001,Extinto,Extinto,1
08237537720178152001,Perdido,Perdido | Perdido,2
08244260720168152001,Perdido,Perdido | Perdido,2
08073225520238152001,Outros,Outros | Outros,2
08537312620228152001,Perdido,Perdido | Perdido,2
08448711220178152001,Ganho,Ganho | Ganho | Acordo | Acordo,4
08013541520218152001,Ganho,Ganho | Ganho | Ganho,3
08018074920178152001,Perdido,Perdido | Perdido,2
08385794520168152001,Perdido,Perdido | Perdido,2
08309747220218152001,Acordo,Acordo | Acordo,2
08417401920238152001,Nenhuma Sentença,-,-
08478910620208152001,Ganho,Ganho | Ganho,2
08079788020218152001,Extinto,Extinto,1
08066502820158152001,Outros,Outros | Outros | Perdido | Perdido,4
08252225620208152001,Ganho,Ganho | Ganho,2
08474842920228152001,Perdido,Perdido,1
08047137520188152001,Ganho,Ganho | Ganho | Ganho | Ganho,4
08393678320218152001,Perdido,Perdido | Perdido,2
08251426320188152001,Nenhuma Sentença,-,-
08586497820198152001,Ganho,Ganho | Ganho,2
00098740720158152001,Perdido,Perdido | Perdido,2
08392907920188152001,Ganho,Ganho,1
08078044220198152001,Outros,Outros | Outros,2
08182299420208152001,Perdido,Perdido | Perdido,2
08153205020188152001,Perdido,Perdido | Perdido,2
08580403220188152001,Ganho,Ganho | Ganho | Extinto | Extinto,4
08689577620198152001,Ganho,Ganho | Ganho,2
08140891220238152001,Acordo,Acordo | Acordo,2
08201052620168152001,Ganho,Ganho | Ganho,2
08577894820178152001,Extinto,Extinto | Outros | Perdido | Perdido,4
08651167320198152001,Extinto,Extinto | Extinto,2
08567276020238152001,Acordo,Acordo | Acordo,2
08208657220168152001,Acordo,Acordo | Acordo,2
08211993820188152001,Outros,Outros | Outros | Extinto | Extinto,4
08529145920228152001,Perdido,Perdido | Perdido,2
08691737120188152001,Perdido,Perdido | Perdido,2
08035960420228152003,Perdido,Perdido | Perdido,2
08507822920228152001,Perdido,Perdido | Perdido,2
08168679620168152001,Outros,Outros | Outros,2
08458023920228152001,Perdido,Perdido,1
08453572120228152001,Ganho,Ganho | Perdido | Perdido,3
08135062720238152001,Perdido,Perdido | Perdido,2
00020390220148152001,Outros,Outros | Outros,2
08671938920188152001,Ganho,Ganho | Ganho | Ganho | Ganho,4
08321202220198152001,Ganho,Ganho,1
08324944320168152001,Extinto,Extinto | Extinto | Extinto,3
08084724220218152001,Perdido,Perdido,1
00433983920088152001,Perdido,Perdido | Perdido,2
00443478720138152001,Perdido,Perdido | Perdido | Perdido,3
08330515420218152001,Outros,Outros | Ganho | Ganho,3
08200432020158152001,Perdido,Perdido | Perdido,2
00093721520088152001,Extinto,Extinto | Extinto,2
00468529020098152001,Acordo,Acordo | Acordo,2
08328855120238152001,Extinto,Extinto | Ganho | Ganho,3
08138216020208152001,Perdido,Perdido | Perdido | Perdido,3
08502404520218152001,Extinto,Extinto | Extinto,2
08194094320238152001,Extinto,Extinto | Extinto,2
08502586620218152001,Perdido,Perdido | Perdido,2
08105807320238152001,Extinto,Extinto | Extinto,2
08326144220238152001,Ganho,Ganho | Ganho,2
08129408820178152001,Perdido,Perdido | Perdido,2
08272449220178152001,Perdido,Perdido | Perdido,2
08561003220188152001,Ganho,Ganho | Ganho,2
07391217020078152001,Extinto,Extinto | Extinto,2
08060299420168152001,Perdido,Perdido | Perdido,2
01181573220128152001,Nenhuma Sentença,-,-
00084745520158152001,Perdido,Perdido | Perdido,2
08021596520218152001,Extinto,Extinto | Extinto | Extinto,3
00640393820148152001,Outros,Outros | Outros,2
00036699320148152001,Ganho,Ganho | Ganho | Extinto | Extinto,4
00288693920138152001,Nenhuma Sentença,-,-
00111178320158152001,Ganho,Ganho | Ganho,2
00120754020138152001,Perdido,Perdido | Perdido,2
08257794320208152001,Outros,Outros | Ganho,2
